"intervention","Date","rno_alc_all","rdv_alc_related_all","ryoung_all","rold_all","total_alc_sales","unemployment_rate","sm_ridership","fuel_prices","arrests","dwi_arrests","percent_DWI_arrests","rfatal_crash_all","ralc_fatal_all","Date_MMMYYYY","time.points","crash_sanantonio","crash_arlington","crash_austin","crash_brownsville","crash_corpus_christi","crash_dallas","crash_elpaso","crash_fworth","crash_houston","crash_laredo","crash_mcallen","crash_plano","crash_sanantonio_rate","crash_arlington_rate","crash_austin_rate","crash_brownsville_rate","crash_corpus_christi_rate","crash_dallas_rate","crash_elpaso_rate","crash_fworth_rate","crash_houston_rate","crash_laredo_rate","crash_mcallen_rate","crash_plano_rate"
"Pre-initiative",2021-01-01,181.1226,7.958193,3.979096,3.831722,9292972,7.5999999,235268,2.0109999,1284,277,21.573208,0.8842437,0.1473739,"Jan2021",1,163,46,89,11,25,110,59,39,267,9,8,13,11.3618541430687,11.6672500291681,9.25295392756704,5.89060608981568,7.86502361080088,8.43313178148376,8.69161700905254,4.24413574704951,11.5856251464475,3.52657667365451,5.62548343998312,4.55351075679349
"Pre-initiative",2021-02-01,185.6912,6.484454,3.094853,2.947479,9243833,7.3000002,273582,2.187,1271,248,19.512196,0.4421218,0.1473739,"Feb2021",2,137,37,69,7,36,71,46,42,209,7,16,19,9.54953385030931,9.38452719737436,7.17363843822614,3.74856751170089,11.3256339995533,5.44320324077588,6.77651495621046,4.57060772759178,9.06889758654505,2.74289296839795,11.2509668799662,6.65513110608279
"Pre-initiative",2021-03-01,222.9768,8.547688,3.536975,4.126471,13466239,6.8000002,312198,2.5350001,1316,246,18.693008,0.8842437,0.2947479,"Mar2021",3,203,52,93,7,47,94,62,61,256,11,11,14,14.1500392088525,13.189065250364,9.66881702543523,3.74856751170089,14.7862443883057,7.20649443144976,9.13356363663148,6.63826360435949,11.1083147471557,4.31026037891107,7.7350397299768,4.90378081500837
"Pre-initiative",2021-04-01,221.503,9.579307,4.273844,4.421218,14682381,6.3000002,325164,2.5510001,1264,251,19.857595,0.8842437,0.1473739,"Apr2021",4,190,48,110,15,35,109,69,43,297,12,22,16,13.2438790624728,12.1745217695667,11.436235191375,8.03264466793047,11.0110330551212,8.35646694710663,10.1647724343157,4.67943172110587,12.8873807808798,4.70210223153935,15.4700794599536,5.60432093143814
"Pre-initiative",2021-05-01,229.1665,10.90567,6.189706,3.831722,16389317,6,312960,2.668,1211,237,19.570602,1.031618,0.2947479,"May2021",5,201,71,102,9,32,110,78,43,292,17,14,21,14.0106299555633,18.0081467841508,10.6045089956386,4.81958680075828,10.0672302218251,8.43313178148376,11.4906123170525,4.67943172110587,12.6704215084744,6.66131149468075,9.84459601997047,7.35567122251256
"Pre-initiative",2021-06-01,223.1241,7.368697,3.831722,3.094853,15100579,6.8000002,290307,2.721,1149,195,16.971279,0.8842437,0.2947479,"Jun2021",6,179,52,96,13,43,95,53,34,226,12,18,15,12.4771281693822,13.189065250364,9.98071434883636,6.96162537887307,13.5278406105775,7.28315926582688,7.80772375389465,3.70001577947906,9.80655911272336,4.70210223153935,12.657337739962,5.25405087322325
"Pre-initiative",2021-07-01,220.9135,8.842437,3.536975,4.421218,16559527,6.0999999,344018,2.8099999,1257,217,17.263325,0.4421218,0,"Jul2021",7,202,43,93,12,42,116,64,45,246,7,18,18,14.0803345822079,10.9063424185702,9.66881702543523,6.42611573434438,13.2132396661455,8.89312078774651,9.42819472168411,4.89707970813405,10.6743962023449,2.74289296839795,12.657337739962,6.30486104786791
"Pre-initiative",2021-08-01,254.8096,8.547688,2.800105,5.158088,14927818,5.6999998,396754,2.802,1186,219,18.465429,0.7368697,0.2947479,"Aug2021",8,173,62,108,21,38,117,59,40,232,6,20,12,12.0589004095147,15.725423952357,11.2283036424409,11.2457025351027,11.9548358884173,8.96978562212363,8.69161700905254,4.3529597405636,10.0669102396098,2.35105111576968,14.0637085999578,4.2032406985786
"Pre-initiative",2021-09-01,250.9778,7.663445,3.242227,4.273844,15114449,5.1999998,411801,2.79,1096,191,17.427008,0.7368697,0.1473739,"Sep2021",9,168,58,100,12,27,98,54,39,262,9,11,19,11.7103772762917,14.7108804715598,10.3965774467045,6.42611573434438,8.49422549966495,7.51315376895826,7.95503929642097,4.24413574704951,11.3686658740421,3.52657667365451,7.7350397299768,6.65513110608279
"Pre-initiative",2021-10-01,250.5357,9.284558,4.421218,4.126471,16181764,5,404975,2.9119999,1292,232,17.956656,0.7368697,0.2947479,"Oct2021",10,179,46,102,18,37,93,64,46,256,6,14,25,12.4771281693822,11.6672500291681,10.6045089956386,9.63917360151656,11.6402349439853,7.12982959707263,9.42819472168411,5.00590370164814,11.1083147471557,2.35105111576968,9.84459601997047,8.75675145537209
"Pre-initiative",2021-11-01,240.0722,7.073949,2.063235,4.273844,14193520,4.5999999,440591,2.9909999,1112,197,17.715828,1.178992,0.1473739,"Nov2021",11,170,67,108,11,29,70,52,48,263,15,19,29,11.8497865295809,16.9936033033536,11.2283036424409,5.89060608981568,9.12342738852902,5.36653840639875,7.66040821136834,5.22355168867632,11.4120577285232,5.87762778942419,13.3605231699599,10.1578316882316
"Pre-initiative",2021-12-01,243.3144,7.663445,3.389601,3.831722,16979536,4.3000002,447494,2.8800001,1066,195,18.292683,1.326365,0.4421218,"Dec2021",12,170,52,97,8,26,87,54,54,257,12,18,32,11.8497865295809,13.189065250364,10.0846801233034,4.28407715622958,8.17962455523291,6.66984059080988,7.95503929642097,5.87649564976086,11.1517066016367,4.70210223153935,12.657337739962,11.2086418628763
"Pre-initiative",2022-01-01,201.5467,5.888874,2.649993,2.797215,13628174,4.9000001,361364,2.937,1052,179,17.015209,0.8833311,0.2944437,"Jan2022",13,195,52,113,6,32,88,41,46,241,12,20,19,13.5924021956957,13.189065250364,11.7481325147761,3.21305786717219,10.0672302218251,6.746505425187,6.03993724357888,5.00590370164814,10.4574369299395,4.70210223153935,14.0637085999578,6.65513110608279
"Pre-initiative",2022-02-01,217.7411,9.863864,3.680546,5.447208,15219455,4.5999999,383963,3.177,1027,185,18.013632,0.5888874,0.2944437,"Feb2022",14,148,36,106,7,36,82,70,38,217,9,12,12,10.3162847433998,9.13089132717506,11.0203720935068,3.74856751170089,11.3256339995533,6.28651641892425,10.312087976842,4.13531175353542,9.41603242239367,3.52657667365451,8.43822515997469,4.2032406985786
"Pre-initiative",2022-03-01,238.9411,5.59443,2.502771,2.944437,17634666,4,430883,3.8559999,1296,182,14.04321,0.5888874,0.1472218,"Mar2022",15,177,50,95,11,41,120,43,33,237,15,18,21,12.3377189160931,12.6817935099654,9.87674857436932,5.89060608981568,12.8986387217134,9.19978012525501,6.33456832863151,3.59119178596497,10.2838695120152,5.87762778942419,12.657337739962,7.35567122251256
"Pre-initiative",2022-04-01,241.591,6.183318,2.208328,3.533324,18386528,3.7,452128,3.7030001,1229,172,13.995118,0.7361093,0.1472218,"Apr2022",16,167,52,124,12,33,104,45,41,218,8,16,23,11.6406726496471,13.189065250364,12.8917560339136,6.42611573434438,10.3818311662572,7.97314277522101,6.62919941368414,4.46178373407769,9.45942427687475,3.13473482102623,11.2509668799662,8.05621133894232
"Pre-initiative",2022-05-01,249.541,6.919427,3.533324,3.091659,17453592,3.9000001,451634,4.0760002,1248,194,15.544871,0.8833311,0.1472218,"May2022",17,155,57,121,8,40,95,51,42,195,8,25,22,10.804217129912,14.4572446013605,12.5798587105125,4.28407715622958,12.5840377772814,7.28315926582688,7.51309266884203,4.57060772759178,8.46141162380998,3.13473482102623,17.5796357499473,7.70594128072744
"Pre-initiative",2022-06-01,226.5744,5.59443,2.35555,2.797215,16749916,4.4000001,421655,4.5770001,1148,137,11.933798,1.177775,0.2944437,"Jun2022",18,156,51,130,9,34,84,41,40,195,10,13,14,10.8739217565566,12.9354293801647,13.5155506807159,4.81958680075828,10.6964321106892,6.4398460876785,6.03993724357888,4.3529597405636,8.46141162380998,3.91841852628279,9.14141058997258,4.90378081500837
"Pre-initiative",2022-07-01,224.5133,6.036096,2.649993,3.238881,17840822,4.1999998,394093,4.0689998,1190,168,14.117647,0.5888874,0.2944437,"Jul2022",19,134,52,141,11,40,79,41,42,198,16,15,26,9.34041997037553,13.189065250364,14.6591741998534,5.89060608981568,12.5840377772814,6.05652191579288,6.03993724357888,4.57060772759178,8.59158718725321,6.26946964205247,10.5477814499684,9.10702151358698
